country,region
Saint Vincent and the Grenadines,Latin America and Caribbean
Samoa,East Asia and Pacific
San Marino,Western Europe
Sao Tome and Principe,Sub-Saharan Africa
Saudi Arabia,"Middle East, North Africa, Afghanistan and Pakistan"
Senegal,Sub-Saharan Africa
Serbia,Eastern Europe and Central Asia
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Singapore,East Asia and Pacific
Slovakia,Eastern Europe and Central Asia
Slovenia,Eastern Europe and Central Asia
Solomon Islands,East Asia and Pacific
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
South Korea,East Asia and Pacific
South Sudan,Sub-Saharan Africa
Spain,Western Europe
Sri Lanka,South Asia
Sudan,Sub-Saharan Africa
Suriname,Latin America and Caribbean
Sweden,Western Europe
Switzerland,Western Europe
Syria,"Middle East, North Africa, Afghanistan and Pakistan"
Taiwan,East Asia and Pacific
Tajikistan,Eastern Europe and Central Asia
Tanzania,Sub-Saharan Africa
Thailand,East Asia and Pacific
Togo,Sub-Saharan Africa
Tonga,East Asia and Pacific
Trinidad and Tobago,Latin America and Caribbean
Tunisia,"Middle East, North Africa, Afghanistan and Pakistan"
Turkey,Eastern Europe and Central Asia
Turkmenistan,Eastern Europe and Central Asia
Tuvalu,East Asia and Pacific
Uganda,Sub-Saharan Africa
Ukraine,Eastern Europe and Central Asia
United Arab Emirates,"Middle East, North Africa, Afghanistan and Pakistan"
United Kingdom,Western Europe
United States,North America
Uruguay,Latin America and Caribbean
Uzbekistan,Eastern Europe and Central Asia
Vanuatu,East Asia and Pacific
Venezuela,Latin America and Caribbean
Vietnam,East Asia and Pacific
Yemen,"Middle East, North Africa, Afghanistan and Pakistan"
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
American Samoa,East Asia and Pacific
Aruba,Latin America and Caribbean
Bermuda,North America
British Virgin Islands,Latin America and Caribbean
Cayman Islands,Latin America and Caribbean
Channel Islands,Western Europe
Curacao,Latin America and Caribbean
Faroe Islands,Western Europe
French Polynesia,East Asia and Pacific
Gibraltar,Western Europe
Guam,East Asia and Pacific
Hong Kong,East Asia and Pacific
Isle of Man,Western Europe
Macao,East Asia and Pacific
Northern Mariana Islands,East Asia and Pacific
Saint Martin (French part),Latin America and Caribbean
Sint Maarten (Dutch part),Latin America and Caribbean
Turks and Caicos Islands,Latin America and Caribbean
United States Virgin Islands,Latin America and Caribbean
